lat,lon,allocatedcity,concat
53.7,-1.9,sheffield,53.7:-1.9
52.8,1.4,norwich,52.8:1.4
53.6,-3,warrington,53.6:-3
52.4,-1.8,birmingham,52.4:-1.8
51.4,-0.6,london,51.4:-0.6
51.8,-2.4,cardiff,51.8:-2.4
50.4,-3.9,okehampton,50.4:-3.9
54.9,-1.8,newcastle,54.9:-1.8
51.1,-1.3,salisbury,51.1:-1.3
53.9,-1.1,scarborough,53.9:-1.1
51.4,0,london,51.4:0
51.3,-0.1,london,51.3:-0.1
53.5,-1.4,sheffield,53.5:-1.4
52.4,1.3,norwich,52.4:1.3
51.2,0.3,london,51.2:0.3
53.2,-1.2,sheffield,53.2:-1.2
52.2,0.1,peterborough,52.2:0.1
52.8,0.5,norwich,52.8:0.5
52.7,0.2,peterborough,52.7:0.2
56.1,-3.5,edinburgh,56.1:-3.5
52.7,-2.4,birmingham,52.7:-2.4
53.6,-2.2,warrington,53.6:-2.2
52.7,-2.5,birmingham,52.7:-2.5
51.5,-1.5,oxford,51.5:-1.5
50.4,-4.2,okehampton,50.4:-4.2
53.7,-2.5,warrington,53.7:-2.5
56,-4.6,edinburgh,56:-4.6
51.3,-0.6,london,51.3:-0.6
50.8,0,brighton,50.8:0
57.5,-4.2,Fort William,57.5:-4.2
52.4,0.3,peterborough,52.4:0.3
50.8,-0.1,brighton,50.8:-0.1
51.8,-0.7,oxford,51.8:-0.7
53.7,-0.4,scarborough,53.7:-0.4
53.8,-0.5,scarborough,53.8:-0.5
51.9,0.1,london,51.9:0.1
51.8,0.1,london,51.8:0.1
51.6,-0.5,london,51.6:-0.5
53.1,-0.8,sheffield,53.1:-0.8
51.1,0.9,canterbury,51.1:0.9
52.7,-1.1,peterborough,52.7:-1.1
53.7,-0.9,sheffield,53.7:-0.9
52.5,-1.5,birmingham,52.5:-1.5
50.9,0.4,brighton,50.9:0.4
53.4,-2.3,warrington,53.4:-2.3
52.3,-1.9,birmingham,52.3:-1.9
54,-1.1,scarborough,54:-1.1
51.8,-0.2,london,51.8:-0.2
52.9,0,peterborough,52.9:0
50.7,-2.4,salisbury,50.7:-2.4
52.6,1.3,norwich,52.6:1.3
55.8,-4.1,edinburgh,55.8:-4.1
54.4,-1.7,newcastle,54.4:-1.7
51,-0.1,brighton,51:-0.1
51.4,0,london,51.4:0
51.3,-3,cardiff,51.3:-3
53.2,-0.7,sheffield,53.2:-0.7
51.8,-1.3,oxford,51.8:-1.3
51.7,-1.3,oxford,51.7:-1.3
50.5,-3.5,okehampton,50.5:-3.5
51.4,-2.4,salisbury,51.4:-2.4
51.3,-1.8,salisbury,51.3:-1.8
51.7,-3.1,cardiff,51.7:-3.1
52.8,-1.6,birmingham,52.8:-1.6
51.8,-0.6,oxford,51.8:-0.6
54.5,-1.3,newcastle,54.5:-1.3
51.9,-2.1,oxford,51.9:-2.1
51.2,-2.8,salisbury,51.2:-2.8
50.8,-1.9,salisbury,50.8:-1.9
52,-0.7,oxford,52:-0.7
51.8,-0.5,london,51.8:-0.5
52.6,-2.1,birmingham,52.6:-2.1
52.2,-0.5,peterborough,52.2:-0.5
52.3,-0.1,peterborough,52.3:-0.1
51.3,-0.8,london,51.3:-0.8
50.9,-1,salisbury,50.9:-1
52.7,-1.2,peterborough,52.7:-1.2
56.7,-2.5,Aberdeen,56.7:-2.5
53.6,-2.6,warrington,53.6:-2.6
51.3,0.2,london,51.3:0.2
52.3,-1.5,birmingham,52.3:-1.5
52.2,-0.4,peterborough,52.2:-0.4
52.9,-1.5,birmingham,52.9:-1.5
54,-1.5,sheffield,54:-1.5
55.8,-4.2,edinburgh,55.8:-4.2
52.2,-1.6,birmingham,52.2:-1.6
51.1,-0.2,brighton,51.1:-0.2
53.4,-2.1,warrington,53.4:-2.1
51.6,-4,cardiff,51.6:-4
53.7,-1.6,sheffield,53.7:-1.6
53.9,-1.4,sheffield,53.9:-1.4
52.6,-1.9,birmingham,52.6:-1.9
54.2,-0.8,scarborough,54.2:-0.8
52.2,0.2,peterborough,52.2:0.2
51.7,-4.9,cardiff,51.7:-4.9
51.6,-3.1,cardiff,51.6:-3.1
50.9,-1.2,salisbury,50.9:-1.2
50.9,-4.1,okehampton,50.9:-4.1
53.9,-2.4,kendal,53.9:-2.4
53.8,-2.4,warrington,53.8:-2.4
57.2,-2.1,Aberdeen,57.2:-2.1
50.9,-1.5,salisbury,50.9:-1.5
55.6,-4.6,dumfries,55.6:-4.6
55.7,-4.2,edinburgh,55.7:-4.2
50.8,0.3,brighton,50.8:0.3
51.7,-3.2,cardiff,51.7:-3.2
51.9,-2.3,oxford,51.9:-2.3
