lat,lon,allocatedcity,concat
51.9,0.9,london,51.9:0.9
51.6,0.5,london,51.6:0.5
57.3,-2.1,Aberdeen,57.3:-2.1
51.7,0.7,london,51.7:0.7
51.6,0.6,london,51.6:0.6
52.1,-0.8,oxford,52.1:-0.8
51.7,0.1,london,51.7:0.1
54,-1.2,scarborough,54:-1.2
51.9,0.6,london,51.9:0.6
50.3,-5.1,okehampton,50.3:-5.1
51.4,1.4,canterbury,51.4:1.4
52.8,-0.2,peterborough,52.8:-0.2
51.1,-0.3,brighton,51.1:-0.3
51,-0.5,brighton,51:-0.5
55.2,-1.6,newcastle,55.2:-1.6
53.1,-1.4,sheffield,53.1:-1.4
51.7,0,london,51.7:0
55,-7.3,dumfries,55:-7.3
51.8,-0.4,london,51.8:-0.4
51.7,-3.4,cardiff,51.7:-3.4
52.4,-1.7,birmingham,52.4:-1.7
51.3,-2.9,cardiff,51.3:-2.9
50.3,-4,okehampton,50.3:-4
51.4,-2.8,cardiff,51.4:-2.8
51.9,0.4,london,51.9:0.4
51.9,1,norwich,51.9:1
51.6,-2.7,cardiff,51.6:-2.7
54.8,-3,dumfries,54.8:-3
52,0.2,london,52:0.2
51.8,0.9,london,51.8:0.9
51,0.9,canterbury,51:0.9
51.9,0.5,london,51.9:0.5
50.9,-3.2,okehampton,50.9:-3.2
53.9,-1.6,sheffield,53.9:-1.6
53.3,-2.7,warrington,53.3:-2.7
51.7,-3.3,cardiff,51.7:-3.3
50.6,-2.5,salisbury,50.6:-2.5
56.4,-3.5,edinburgh,56.4:-3.5
50.8,-4.5,okehampton,50.8:-4.5
52.3,-3.4,cardiff,52.3:-3.4
51,-0.4,brighton,51:-0.4
50.8,-1.7,salisbury,50.8:-1.7
52,-2.8,cardiff,52:-2.8
51.3,0.6,canterbury,51.3:0.6
51.1,1.2,canterbury,51.1:1.2
53.1,-1.6,sheffield,53.1:-1.6
53,-3,corwen,53:-3
51.9,-0.1,london,51.9:-0.1
51.1,-0.5,brighton,51.1:-0.5
51.3,-2.1,salisbury,51.3:-2.1
50.8,-1.4,salisbury,50.8:-1.4
53.4,-3.2,warrington,53.4:-3.2
52.7,1,norwich,52.7:1
52.4,-0.8,peterborough,52.4:-0.8
54.2,-1.3,scarborough,54.2:-1.3
52.3,0.1,peterborough,52.3:0.1
53.8,-0.1,scarborough,53.8:-0.1
52.1,-1,oxford,52.1:-1
54.1,-0.8,scarborough,54.1:-0.8
54.7,-1.6,newcastle,54.7:-1.6
55.9,-4.5,edinburgh,55.9:-4.5
54.2,-0.3,scarborough,54.2:-0.3
53.5,-1.5,sheffield,53.5:-1.5
54,-1,scarborough,54:-1
50.8,0.1,brighton,50.8:0.1
51.1,-3,okehampton,51.1:-3
51.5,-3.4,cardiff,51.5:-3.4
51.7,-3.5,cardiff,51.7:-3.5
50.9,-1.9,salisbury,50.9:-1.9
56,-3.7,edinburgh,56:-3.7
56.1,-3.2,edinburgh,56.1:-3.2
55.7,-2.3,edinburgh,55.7:-2.3
56,-3.6,edinburgh,56:-3.6
52.3,0.6,norwich,52.3:0.6
51.1,-2.7,salisbury,51.1:-2.7
50.9,-2.2,salisbury,50.9:-2.2
55.8,-4.5,edinburgh,55.8:-4.5
50.9,-2.8,salisbury,50.9:-2.8
51.2,-2.5,salisbury,51.2:-2.5
51,-2.7,salisbury,51:-2.7
51.4,-2.7,cardiff,51.4:-2.7
56.8,-2.5,Aberdeen,56.8:-2.5
50.9,-3,okehampton,50.9:-3
54.6,-1,scarborough,54.6:-1
53,0,peterborough,53:0
52,-1.8,oxford,52:-1.8
50.7,-4.3,okehampton,50.7:-4.3
52.1,-1.6,oxford,52.1:-1.6
52.3,-2.4,birmingham,52.3:-2.4
51.9,-1.2,oxford,51.9:-1.2
52,-1.7,oxford,52:-1.7
52.5,-0.7,peterborough,52.5:-0.7
53.4,-1.6,sheffield,53.4:-1.6
52,1.1,norwich,52:1.1
52.3,-2,birmingham,52.3:-2
53.8,-2.5,warrington,53.8:-2.5
51.1,1.1,canterbury,51.1:1.1
53.6,-0.2,sheffield,53.6:-0.2
51.8,1.2,norwich,51.8:1.2
53.5,-1.1,sheffield,53.5:-1.1
50.2,-5,okehampton,50.2:-5
51.6,-0.8,oxford,51.6:-0.8
52.6,1.1,norwich,52.6:1.1
57.6,-3.3,Aberdeen,57.6:-3.3
50.4,-4.7,okehampton,50.4:-4.7
52.4,-0.7,peterborough,52.4:-0.7
54.7,-1.7,newcastle,54.7:-1.7
53.3,-1.9,sheffield,53.3:-1.9
52.5,-2.4,birmingham,52.5:-2.4
50.9,0.5,brighton,50.9:0.5
52.3,-1,peterborough,52.3:-1
54.6,-1.6,newcastle,54.6:-1.6
50.9,0,brighton,50.9:0
50.8,-1,salisbury,50.8:-1
53.3,-1.5,sheffield,53.3:-1.5
54.9,-2.9,dumfries,54.9:-2.9
53.3,-1.6,sheffield,53.3:-1.6
56.8,-3,Aberdeen,56.8:-3
51.2,-1.1,salisbury,51.2:-1.1
50.6,-4.4,okehampton,50.6:-4.4
53.4,-0.3,sheffield,53.4:-0.3
53.7,-0.5,scarborough,53.7:-0.5
52.4,0.8,norwich,52.4:0.8
50.7,-2.1,salisbury,50.7:-2.1
51.3,-0.4,london,51.3:-0.4
50.6,-4.1,okehampton,50.6:-4.1
51.6,-3.4,cardiff,51.6:-3.4
51.2,-1.7,salisbury,51.2:-1.7
51.8,-3.7,cardiff,51.8:-3.7
52,-4.3,cardiff,52:-4.3
52.2,-2.5,birmingham,52.2:-2.5
51.7,-4.1,cardiff,51.7:-4.1
51.6,-4.2,cardiff,51.6:-4.2
52.4,-2.7,birmingham,52.4:-2.7
50.2,-5.3,okehampton,50.2:-5.3
51.9,-4.3,cardiff,51.9:-4.3
51.8,-5,cardiff,51.8:-5
53.2,-0.1,peterborough,53.2:-0.1
51.4,-1.2,oxford,51.4:-1.2
52.6,-3.9,corwen,52.6:-3.9
52.6,0.2,peterborough,52.6:0.2
52.7,-1.9,birmingham,52.7:-1.9
52.1,-1.3,oxford,52.1:-1.3
52.6,0.8,norwich,52.6:0.8
52.2,-0.3,peterborough,52.2:-0.3
53.3,-2.9,warrington,53.3:-2.9
53.2,-3.1,corwen,53.2:-3.1
52.5,0.1,peterborough,52.5:0.1
56.1,-3.3,edinburgh,56.1:-3.3
54.8,-1.7,newcastle,54.8:-1.7
51.2,-0.4,london,51.2:-0.4
52.7,-1.5,birmingham,52.7:-1.5
53.3,-0.9,sheffield,53.3:-0.9
50.4,-3.7,okehampton,50.4:-3.7
52.7,-1.4,birmingham,52.7:-1.4
54,-2,kendal,54:-2
54.5,-3.6,kendal,54.5:-3.6
55.6,-3.5,edinburgh,55.6:-3.5
53.9,-2.8,kendal,53.9:-2.8
56.3,-3.7,edinburgh,56.3:-3.7
52.5,-0.9,peterborough,52.5:-0.9
52.2,-3.4,cardiff,52.2:-3.4
51.5,-1.8,salisbury,51.5:-1.8
53.8,-2.9,warrington,53.8:-2.9
51.6,-2.6,cardiff,51.6:-2.6
52.1,-2.7,birmingham,52.1:-2.7
51.4,-2,salisbury,51.4:-2
56.3,-3,edinburgh,56.3:-3
51.6,-2.8,cardiff,51.6:-2.8
50.4,-5.1,okehampton,50.4:-5.1
53.7,-2.3,warrington,53.7:-2.3
53.6,-0.7,sheffield,53.6:-0.7
52.7,-2.8,corwen,52.7:-2.8
51.5,-1.9,salisbury,51.5:-1.9
53.2,-2.5,warrington,53.2:-2.5
51.2,-3.5,okehampton,51.2:-3.5
53.8,-0.7,scarborough,53.8:-0.7
53.7,-0.7,sheffield,53.7:-0.7
53.3,-0.5,sheffield,53.3:-0.5
53.1,-0.4,peterborough,53.1:-0.4
53.3,-0.7,sheffield,53.3:-0.7
51.3,-2.3,salisbury,51.3:-2.3
54,-0.4,scarborough,54:-0.4
52.2,1,norwich,52.2:1
53.6,-1.4,sheffield,53.6:-1.4
51.7,-2.5,cardiff,51.7:-2.5
55.7,-4.3,edinburgh,55.7:-4.3
50.9,-0.9,brighton,50.9:-0.9
56.5,-2.7,Aberdeen,56.5:-2.7
56.3,-3.2,edinburgh,56.3:-3.2
51.1,-2.3,salisbury,51.1:-2.3
56.2,-4,edinburgh,56.2:-4
53.1,-3.1,corwen,53.1:-3.1
56.2,-3.2,edinburgh,56.2:-3.2
50.7,-2.6,salisbury,50.7:-2.6
51.1,0,brighton,51.1:0
51.6,-2.5,cardiff,51.6:-2.5
54.5,-1.6,newcastle,54.5:-1.6
54.2,-1.4,scarborough,54.2:-1.4
52.1,-0.7,oxford,52.1:-0.7
52.1,0.9,norwich,52.1:0.9
52.5,1.7,norwich,52.5:1.7
52.1,-1.9,birmingham,52.1:-1.9
51,-1.2,salisbury,51:-1.2
51.8,-1.1,oxford,51.8:-1.1
50.4,-4,okehampton,50.4:-4
52,-0.2,london,52:-0.2
52.1,-0.2,peterborough,52.1:-0.2
53.6,-0.8,sheffield,53.6:-0.8
53.2,-0.3,peterborough,53.2:-0.3
53.4,-3.1,warrington,53.4:-3.1
53.3,-2.6,warrington,53.3:-2.6
55.9,-3,edinburgh,55.9:-3
53,-1.7,sheffield,53:-1.7
51.4,-3.2,cardiff,51.4:-3.2
51.4,-2.5,salisbury,51.4:-2.5
53.5,-0.7,sheffield,53.5:-0.7
51.2,-2.9,salisbury,51.2:-2.9
51.2,1.2,canterbury,51.2:1.2
50.3,-4.8,okehampton,50.3:-4.8
56.3,-3.6,edinburgh,56.3:-3.6
51.1,-4.2,okehampton,51.1:-4.2
52,-2.7,cardiff,52:-2.7
54.1,-1.5,scarborough,54.1:-1.5
52.1,-2.4,birmingham,52.1:-2.4
51.4,0.7,canterbury,51.4:0.7
54.1,-1.7,kendal,54.1:-1.7
50.9,-0.2,brighton,50.9:-0.2
50.8,-3,okehampton,50.8:-3
51,-2.4,salisbury,51:-2.4
55.2,-1.5,newcastle,55.2:-1.5
53.6,-0.1,scarborough,53.6:-0.1
52.8,-3,corwen,52.8:-3
54.6,-6,dumfries,54.6:-6
52.4,1.4,norwich,52.4:1.4
52.3,0.8,norwich,52.3:0.8
57.2,-2.3,Aberdeen,57.2:-2.3
54,-2.7,kendal,54:-2.7
54.4,-2.9,kendal,54.4:-2.9
52.3,-3,birmingham,52.3:-3
50.8,-3.2,okehampton,50.8:-3.2
51.8,-3.3,cardiff,51.8:-3.3
52.6,0.5,norwich,52.6:0.5
52.3,0.2,peterborough,52.3:0.2
53.8,-1.9,sheffield,53.8:-1.9
51,-4.1,okehampton,51:-4.1
53.2,-1,sheffield,53.2:-1
51.9,-0.7,oxford,51.9:-0.7
53.6,-1.5,sheffield,53.6:-1.5
51.6,-1.2,oxford,51.6:-1.2
52,0.8,norwich,52:0.8
54.9,-1.5,newcastle,54.9:-1.5
52.9,-2.9,corwen,52.9:-2.9
54.9,-3,dumfries,54.9:-3
53.6,-2.7,warrington,53.6:-2.7
55.9,-4.9,edinburgh,55.9:-4.9
51.3,-0.5,london,51.3:-0.5
52.8,0.1,peterborough,52.8:0.1
54.7,-2.2,newcastle,54.7:-2.2
51.7,-2.4,cardiff,51.7:-2.4
52.1,-2.3,birmingham,52.1:-2.3
52.3,0.7,norwich,52.3:0.7
52.2,-0.6,peterborough,52.2:-0.6
52.4,-1.6,birmingham,52.4:-1.6
52.7,1.5,norwich,52.7:1.5
54.4,-1.8,kendal,54.4:-1.8
51,0.7,canterbury,51:0.7
52.2,-1.5,oxford,52.2:-1.5
52.8,-2.4,birmingham,52.8:-2.4
56.6,-4,edinburgh,56.6:-4
52.4,0.6,norwich,52.4:0.6
51,-0.9,brighton,51:-0.9
53.1,-4.2,corwen,53.1:-4.2
51.9,-1.4,oxford,51.9:-1.4
53.4,-1.2,sheffield,53.4:-1.2
50.1,-5.3,okehampton,50.1:-5.3
53.7,-0.6,sheffield,53.7:-0.6
53.2,-3.3,corwen,53.2:-3.3
52.3,-1.4,birmingham,52.3:-1.4
50.7,-4,okehampton,50.7:-4
51.1,-1.1,salisbury,51.1:-1.1
55.9,-2.8,edinburgh,55.9:-2.8
53.9,-2.2,kendal,53.9:-2.2
53.2,-2.4,warrington,53.2:-2.4
52.9,-1.7,birmingham,52.9:-1.7
52.2,1.5,norwich,52.2:1.5
53.8,-0.8,scarborough,53.8:-0.8
53.2,-1.3,sheffield,53.2:-1.3
52,-1,oxford,52:-1
50.4,-3.5,okehampton,50.4:-3.5
56.5,-2.9,edinburgh,56.5:-2.9
53.6,-1.6,sheffield,53.6:-1.6
52.4,-4.1,corwen,52.4:-4.1
52.3,-1.7,birmingham,52.3:-1.7
52.7,0.1,peterborough,52.7:0.1
51.6,-1.1,oxford,51.6:-1.1
51.9,-0.3,london,51.9:-0.3
55.8,-3.6,edinburgh,55.8:-3.6
51.7,0.3,london,51.7:0.3
56,-4,edinburgh,56:-4
50.9,-4,okehampton,50.9:-4
52.2,-0.1,peterborough,52.2:-0.1
53.2,0.3,peterborough,53.2:0.3
52.2,0.4,norwich,52.2:0.4
53.4,-2,sheffield,53.4:-2
51.3,0.9,canterbury,51.3:0.9
51.7,-1.6,oxford,51.7:-1.6
54.7,-3.4,kendal,54.7:-3.4
52.1,1.4,norwich,52.1:1.4
53.1,0.3,peterborough,53.1:0.3
55.1,-3.6,dumfries,55.1:-3.6
55.9,-3.4,edinburgh,55.9:-3.4
53.3,-1.2,sheffield,53.3:-1.2
50.4,-4.8,okehampton,50.4:-4.8
51.5,-1.6,oxford,51.5:-1.6
51.7,-2.3,oxford,51.7:-2.3
51.2,0.8,canterbury,51.2:0.8
51.1,0,brighton,51.1:0
50.2,-5.5,okehampton,50.2:-5.5
52,1.2,norwich,52:1.2
53.2,-3,warrington,53.2:-3
50.9,-1.1,salisbury,50.9:-1.1
52.5,1.1,norwich,52.5:1.1
56.5,-2.8,Aberdeen,56.5:-2.8
53.1,-2.4,warrington,53.1:-2.4
54.7,-1.4,newcastle,54.7:-1.4
52.2,-2.4,birmingham,52.2:-2.4
52.4,-0.5,peterborough,52.4:-0.5
52,-3,cardiff,52:-3
53,-2.6,warrington,53:-2.6
51.2,0.2,london,51.2:0.2
51.7,-2.8,cardiff,51.7:-2.8
52.3,0.5,norwich,52.3:0.5
54.9,-1.7,newcastle,54.9:-1.7
53.6,-1.3,sheffield,53.6:-1.3
54.4,-5.8,dumfries,54.4:-5.8
54.5,-6.8,dumfries,54.5:-6.8
54.3,-3,kendal,54.3:-3
51.9,-2,oxford,51.9:-2
53.5,-2.8,warrington,53.5:-2.8
52.1,0,peterborough,52.1:0
51.8,-4,cardiff,51.8:-4
53,-0.5,peterborough,53:-0.5
53.7,-1.1,sheffield,53.7:-1.1
54.5,-1,scarborough,54.5:-1
55.9,-2.9,edinburgh,55.9:-2.9
54.5,-1.5,newcastle,54.5:-1.5
54.6,-1.1,scarborough,54.6:-1.1
53.3,-3.8,corwen,53.3:-3.8
55.1,-1.6,newcastle,55.1:-1.6
57.7,-4.2,Fort William,57.7:-4.2
50.8,-2,salisbury,50.8:-2
55.1,-6.8,dumfries,55.1:-6.8
51.2,0.5,canterbury,51.2:0.5
51.8,-2.5,cardiff,51.8:-2.5
53.8,-0.6,scarborough,53.8:-0.6
55,-2.1,newcastle,55:-2.1
53.1,-0.5,peterborough,53.1:-0.5
51,0.6,canterbury,51:0.6
51.2,0,london,51.2:0
54.7,-3.5,kendal,54.7:-3.5
52,1,norwich,52:1
51.9,-1.5,oxford,51.9:-1.5
51.9,-2.7,cardiff,51.9:-2.7
51.2,0,london,51.2:0
53.1,-2.8,warrington,53.1:-2.8
52.6,-0.4,peterborough,52.6:-0.4
52.8,-1.9,birmingham,52.8:-1.9
53.2,-0.2,peterborough,53.2:-0.2
51.2,0.7,canterbury,51.2:0.7
56.7,-2.6,Aberdeen,56.7:-2.6
51.3,0,london,51.3:0
50.5,-4.1,okehampton,50.5:-4.1
51,-4.2,okehampton,51:-4.2
53.9,-2,kendal,53.9:-2
56.1,-3.8,edinburgh,56.1:-3.8
50.7,-2.3,salisbury,50.7:-2.3
51.8,-4.7,cardiff,51.8:-4.7
55.5,-2.8,edinburgh,55.5:-2.8
55.6,-2.7,edinburgh,55.6:-2.7
55.6,-2.4,edinburgh,55.6:-2.4
55.7,-2.6,edinburgh,55.7:-2.6
55.8,-3.2,edinburgh,55.8:-3.2
54.5,-6,dumfries,54.5:-6
55.4,-2.8,dumfries,55.4:-2.8
55.6,-3.1,edinburgh,55.6:-3.1
51.9,-2.8,cardiff,51.9:-2.8
51.2,-0.7,london,51.2:-0.7
52.7,1.4,norwich,52.7:1.4
53.2,0,peterborough,53.2:0
52.6,-2.3,birmingham,52.6:-2.3
51.8,-3.1,cardiff,51.8:-3.1
52.7,-2.2,birmingham,52.7:-2.2
55.8,-4.7,edinburgh,55.8:-4.7
53.9,-1.3,sheffield,53.9:-1.3
52.3,-0.6,peterborough,52.3:-0.6
51.8,0.2,london,51.8:0.2
57.7,-3.3,Aberdeen,57.7:-3.3
54.9,-5,dumfries,54.9:-5
55.6,-4.7,dumfries,55.6:-4.7
52.1,1.3,norwich,52.1:1.3
52.9,-2.4,birmingham,52.9:-2.4
57.5,-1.8,Aberdeen,57.5:-1.8
50.2,-5.1,okehampton,50.2:-5.1
55.6,-5.1,dumfries,55.6:-5.1
57.4,-2.8,Aberdeen,57.4:-2.8
55.1,-5,dumfries,55.1:-5
52.9,-0.2,peterborough,52.9:-0.2
55.7,-4.5,edinburgh,55.7:-4.5
55.7,-4,edinburgh,55.7:-4
52.8,-2.6,birmingham,52.8:-2.6
51.3,-1.5,salisbury,51.3:-1.5
51.9,-1.8,oxford,51.9:-1.8
50.9,-3.5,okehampton,50.9:-3.5
56,-4.8,edinburgh,56:-4.8
52.8,-2.3,birmingham,52.8:-2.3
52.4,-2.1,birmingham,52.4:-2.1
57.6,-4.1,Fort William,57.6:-4.1
57.5,-2.5,Aberdeen,57.5:-2.5
58.6,-3.5,Fort William,58.6:-3.5
57.6,-4.4,Fort William,57.6:-4.4
53.4,0.1,peterborough,53.4:0.1
54.6,-1.7,newcastle,54.6:-1.7
53.9,-0.2,scarborough,53.9:-0.2
50.5,-4.8,okehampton,50.5:-4.8
52.2,1.6,norwich,52.2:1.6
52.5,-0.6,peterborough,52.5:-0.6
50.5,-4.2,okehampton,50.5:-4.2
51.9,0,london,51.9:0
54.2,-3.2,kendal,54.2:-3.2
53.3,-4.1,corwen,53.3:-4.1
55,-2.5,newcastle,55:-2.5
54.2,-0.9,scarborough,54.2:-0.9
51.7,-3,cardiff,51.7:-3
52.5,0.3,peterborough,52.5:0.3
53.6,-1,sheffield,53.6:-1
52.9,0.5,norwich,52.9:0.5
56.7,-2.7,Aberdeen,56.7:-2.7
54.6,-3.5,kendal,54.6:-3.5
50.5,-4.5,okehampton,50.5:-4.5
52.1,-4.3,cardiff,52.1:-4.3
53.8,-2.6,warrington,53.8:-2.6
52,-2.4,birmingham,52:-2.4
52.7,1.2,norwich,52.7:1.2
51.7,-4.3,cardiff,51.7:-4.3
52.8,-1.5,birmingham,52.8:-1.5
53,-2.7,warrington,53:-2.7
53.3,-3.4,corwen,53.3:-3.4
51.8,-3.4,cardiff,51.8:-3.4
52.6,-1.5,birmingham,52.6:-1.5
54.6,-1.4,newcastle,54.6:-1.4
51.1,-1,salisbury,51.1:-1
51.2,1,canterbury,51.2:1
52,-2.1,birmingham,52:-2.1
54.1,-0.9,scarborough,54.1:-0.9
55.3,-1.6,newcastle,55.3:-1.6
52.1,0.3,london,52.1:0.3
53.9,-1.7,sheffield,53.9:-1.7
53,-0.4,peterborough,53:-0.4
52.7,0.4,peterborough,52.7:0.4
51.6,-2.4,cardiff,51.6:-2.4
52.7,0.7,norwich,52.7:0.7
52.2,0,peterborough,52.2:0
52.8,0,peterborough,52.8:0
50.9,-1.8,salisbury,50.9:-1.8
53.8,-2.8,warrington,53.8:-2.8
53.2,-0.4,peterborough,53.2:-0.4
55,-1.9,newcastle,55:-1.9
51.6,-1.3,oxford,51.6:-1.3
53.2,-2.8,warrington,53.2:-2.8
54.8,-1.9,newcastle,54.8:-1.9
52.6,-3.2,corwen,52.6:-3.2
51.4,0.8,canterbury,51.4:0.8
52.9,-1.6,birmingham,52.9:-1.6
52.7,-0.3,peterborough,52.7:-0.3
51.1,-0.1,brighton,51.1:-0.1
54.5,-1.9,newcastle,54.5:-1.9
52.1,-4.4,cardiff,52.1:-4.4
55.3,-3.2,dumfries,55.3:-3.2
53.2,-2.3,warrington,53.2:-2.3
52.5,-0.8,peterborough,52.5:-0.8
52.7,1.3,norwich,52.7:1.3
51.3,0.8,canterbury,51.3:0.8
52.4,-3.8,corwen,52.4:-3.8
51.8,-3.8,cardiff,51.8:-3.8
55.9,-4.6,edinburgh,55.9:-4.6
56,-4.5,edinburgh,56:-4.5
57.4,-2.1,Aberdeen,57.4:-2.1
55.8,-3.8,edinburgh,55.8:-3.8
53.5,-0.1,sheffield,53.5:-0.1
53.4,-0.4,sheffield,53.4:-0.4
51.8,1.1,norwich,51.8:1.1
53,-2.9,corwen,53:-2.9
52.8,1.1,norwich,52.8:1.1
52.3,0.3,peterborough,52.3:0.3
53.3,-3,warrington,53.3:-3
54,-2.9,kendal,54:-2.9
51.1,-0.9,salisbury,51.1:-0.9
53.6,-1.9,sheffield,53.6:-1.9
50.4,-4.6,okehampton,50.4:-4.6
50.7,-1.4,salisbury,50.7:-1.4
50.7,-1.3,salisbury,50.7:-1.3
51.7,-1.7,oxford,51.7:-1.7
56.4,-2.9,edinburgh,56.4:-2.9
54.1,-0.3,scarborough,54.1:-0.3
52.6,-1.6,birmingham,52.6:-1.6
51.6,-3.8,cardiff,51.6:-3.8
52.4,-1.2,birmingham,52.4:-1.2
53.3,-3.6,corwen,53.3:-3.6
51.1,0.8,canterbury,51.1:0.8
52.8,-2,birmingham,52.8:-2
51.3,-2.7,salisbury,51.3:-2.7
51.2,-0.5,london,51.2:-0.5
50.9,-0.3,brighton,50.9:-0.3
55.2,-2.4,newcastle,55.2:-2.4
51.9,-0.9,oxford,51.9:-0.9
53,-3.1,corwen,53:-3.1
52.2,-2.7,birmingham,52.2:-2.7
51,-0.6,brighton,51:-0.6
51.3,-1,salisbury,51.3:-1
55.5,-2.6,edinburgh,55.5:-2.6
53.7,-2.9,warrington,53.7:-2.9
52.7,-1.7,birmingham,52.7:-1.7
51.6,0.8,london,51.6:0.8
56.1,-3.4,edinburgh,56.1:-3.4
53.8,-2.1,warrington,53.8:-2.1
53,-3.4,corwen,53:-3.4
51.2,-1.3,salisbury,51.2:-1.3
52.8,1.3,norwich,52.8:1.3
51.6,-2.9,cardiff,51.6:-2.9
52.6,0.7,norwich,52.6:0.7
51.3,-2.5,salisbury,51.3:-2.5
50.8,-2.7,salisbury,50.8:-2.7
50.7,-2.5,salisbury,50.7:-2.5
52,-1.9,oxford,52:-1.9
52.8,-1.4,birmingham,52.8:-1.4
51.7,-0.8,oxford,51.7:-0.8
54.5,-6.1,dumfries,54.5:-6.1
50.5,-3.7,okehampton,50.5:-3.7
52.7,0.5,norwich,52.7:0.5
51.1,0.4,brighton,51.1:0.4
53.7,-0.1,scarborough,53.7:-0.1
50.9,-3.3,okehampton,50.9:-3.3
55.1,-3.2,dumfries,55.1:-3.2
55.8,-3.1,edinburgh,55.8:-3.1
54.2,-6.2,dumfries,54.2:-6.2
51.1,-2.4,salisbury,51.1:-2.4
51,-2.3,salisbury,51:-2.3
52.6,-0.1,peterborough,52.6:-0.1
51.1,-0.4,brighton,51.1:-0.4
53.3,-2.3,warrington,53.3:-2.3
50.9,-2.3,salisbury,50.9:-2.3
53,-2.3,warrington,53:-2.3
56.6,-3.3,edinburgh,56.6:-3.3
55.5,-2.5,edinburgh,55.5:-2.5
56.2,-3.4,edinburgh,56.2:-3.4
51.8,1,london,51.8:1
54.7,-5.8,dumfries,54.7:-5.8
52.8,-2.2,birmingham,52.8:-2.2
52.8,-0.4,peterborough,52.8:-0.4
52.7,-0.4,peterborough,52.7:-0.4
53.7,-1.2,sheffield,53.7:-1.2
53.3,-2.4,warrington,53.3:-2.4
51.4,-2.9,cardiff,51.4:-2.9
52.1,-4.2,cardiff,52.1:-4.2
56,-3.9,edinburgh,56:-3.9
52.2,-1,oxford,52.2:-1
52.1,0,peterborough,52.1:0
56.3,-2.8,edinburgh,56.3:-2.8
51.9,-1.6,oxford,51.9:-1.6
51.4,-2.3,salisbury,51.4:-2.3
53.3,-0.2,peterborough,53.3:-0.2
54.6,-3.2,kendal,54.6:-3.2
50.5,-4.7,okehampton,50.5:-4.7
52.4,-2.3,birmingham,52.4:-2.3
54.3,-3.2,kendal,54.3:-3.2
51.6,-3.7,cardiff,51.6:-3.7
54.4,-6.3,dumfries,54.4:-6.3
52.7,1.6,norwich,52.7:1.6
52.5,0.9,norwich,52.5:0.9
57.1,-2.3,Aberdeen,57.1:-2.3
52.8,0,peterborough,52.8:0
53.5,-2,warrington,53.5:-2
55.7,-3.8,edinburgh,55.7:-3.8
51.9,-1.3,oxford,51.9:-1.3
52.3,0.9,norwich,52.3:0.9
51.4,-1.5,salisbury,51.4:-1.5
55.6,-4.4,dumfries,55.6:-4.4
51,0,brighton,51:0
52.9,-1.8,birmingham,52.9:-1.8
52.5,-1.2,birmingham,52.5:-1.2
52.5,-1.3,birmingham,52.5:-1.3
52.3,-0.4,peterborough,52.3:-0.4
57.1,-3,Aberdeen,57.1:-3
54.8,-4,dumfries,54.8:-4
51.8,-4.1,cardiff,51.8:-4.1
55.1,-6.7,dumfries,55.1:-6.7
53.1,-1.1,sheffield,53.1:-1.1
54.9,-6.3,dumfries,54.9:-6.3
53.1,0.1,peterborough,53.1:0.1
55.8,-2,edinburgh,55.8:-2
57.4,-5.8,Fort William,57.4:-5.8
50.9,-4.4,okehampton,50.9:-4.4
52.1,-1.5,oxford,52.1:-1.5
55.3,-1.9,newcastle,55.3:-1.9
52.6,-1.4,birmingham,52.6:-1.4
52.7,-3.1,corwen,52.7:-3.1
52.2,-0.8,peterborough,52.2:-0.8
52.7,-1,peterborough,52.7:-1
54.5,-1.8,newcastle,54.5:-1.8
57.1,-2.2,Aberdeen,57.1:-2.2
54.5,-6.4,dumfries,54.5:-6.4
54.9,-3.8,dumfries,54.9:-3.8
52.6,0.4,peterborough,52.6:0.4
52,-1.3,oxford,52:-1.3
51,-3,okehampton,51:-3
51.7,-1.4,oxford,51.7:-1.4
52,-1.1,oxford,52:-1.1
51.8,-3.9,cardiff,51.8:-3.9
52.2,-0.7,peterborough,52.2:-0.7
57.4,-2.5,Aberdeen,57.4:-2.5
55.4,-4.6,dumfries,55.4:-4.6
53.6,-0.9,sheffield,53.6:-0.9
55.1,-7,dumfries,55.1:-7
52.4,1.2,norwich,52.4:1.2
52.1,-0.1,peterborough,52.1:-0.1
51.8,0.3,london,51.8:0.3
51.6,-4.1,cardiff,51.6:-4.1
56.1,-4,edinburgh,56.1:-4
55.1,-1.5,newcastle,55.1:-1.5
56.5,-3.8,edinburgh,56.5:-3.8
56,-4.7,edinburgh,56:-4.7
52.3,1.5,norwich,52.3:1.5
56.4,-3.6,edinburgh,56.4:-3.6
51,-3.8,okehampton,51:-3.8
51.8,-0.9,oxford,51.8:-0.9
53,-0.2,peterborough,53:-0.2
50.8,-3.3,okehampton,50.8:-3.3
52.9,-3.1,corwen,52.9:-3.1
54.9,-4,dumfries,54.9:-4
55,-6.4,dumfries,55:-6.4
51.1,-2,salisbury,51.1:-2
53.2,-2.1,warrington,53.2:-2.1
53.3,-2.8,warrington,53.3:-2.8
55.9,-3.9,edinburgh,55.9:-3.9
55.7,-4.6,edinburgh,55.7:-4.6
55,-6.6,dumfries,55:-6.6
51.5,-2,salisbury,51.5:-2
51.9,-1.1,oxford,51.9:-1.1
53.2,0.1,peterborough,53.2:0.1
